vx1ActNum,hteAcctNum,hteCustNum,hteLOCID
3000549,375673-10640,375673,10640
3000550,375763-10638,375763,10638
3000551,375883-10685,375883,10685
3000552,520483-357,520483,357
3000553,520523-5838,520523,5838
3000554,520693-7674,520693,7674
3000555,520813-34718,520813,34718
3000556,520903-22021,520903,22021
3000557,520953-6345,520953,6345
3000558,521013-15788,521013,15788
3000559,521093-15391,521093,15391
3000560,521223-37609,521223,37609
3000561,521363-1171,521363,1171
3000562,521443-34488,521443,34488
3000563,521523-34388,521523,34388
3000564,521613-20712,521613,20712
3000565,521743-21145,521743,21145
3000566,521813-18684,521813,18684
3000567,521903-12913,521903,12913
3000568,521993-1499,521993,1499
3000569,522123-30386,522123,30386
3000570,522123-30388,522123,30388
3000571,522123-30391,522123,30391
3000572,522143-21825,522143,21825
3000573,522183-10293,522183,10293
3000574,522293-43121,522293,43121
3000575,522333-39337,522333,39337
3000576,522403-38208,522403,38208
3000577,522493-7287,522493,7287
3000578,522533-35834,522533,35834
3000579,522603-12595,522603,12595
3000580,522623-6402,522623,6402
3000581,522733-25034,522733,25034
3000582,522813-23123,522813,23123
3000583,522893-39345,522893,39345
3000584,522963-29321,522963,29321
3000585,523173-23157,523173,23157
3000586,523323-7384,523323,7384
3000587,523433-4323,523433,4323
3000588,523473-30646,523473,30646
3000589,523543-13117,523543,13117
3000590,523613-8140,523613,8140
3000591,523763-43070,523763,43070
3000592,523863-24127,523863,24127
3000593,523973-14319,523973,14319
3000594,524093-28948,524093,28948
3000595,524353-8621,524353,8621
3000596,524453-6741,524453,6741
3000597,524553-25348,524553,25348
3000598,524653-14003,524653,14003
3000599,524703-18710,524703,18710
3000600,524753-35727,524753,35727
3000601,524803-37013,524803,37013
3000602,524883-3802,524883,3802
3000603,524973-13054,524973,13054
3000604,525053-18761,525053,18761
3000605,525143-22050,525143,22050
3000606,525273-4864,525273,4864
3000607,525363-6623,525363,6623
3000608,525403-24343,525403,24343
3000609,525493-41834,525493,41834
3000610,525633-3438,525633,3438
3000611,525693-5316,525693,5316
3000612,525803-33865,525803,33865
3000613,525913-29127,525913,29127
3000614,526013-3703,526013,3703
3000615,526083-13444,526083,13444
3000616,526113-36448,526113,36448
3000617,526223-5935,526223,5935
3000618,526413-36419,526413,36419
3000619,526473-17002,526473,17002
3000620,526553-37448,526553,37448
3000621,526593-42833,526593,42833
3000622,526693-5399,526693,5399
3000623,526923-14115,526923,14115
3000624,526983-11633,526983,11633
3000625,527073-30188,527073,30188
3000626,527283-31859,527283,31859
3000627,527403-21549,527403,21549
3000628,527493-21184,527493,21184
3000629,527593-37603,527593,37603
3000630,527603-9337,527603,9337
3000631,527683-28025,527683,28025
3000632,527803-7735,527803,7735
3000633,527873-26720,527873,26720
3000634,527943-20539,527943,20539
3000635,528043-20397,528043,20397
3000636,528123-30939,528123,30939
3000637,528183-36429,528183,36429
3000638,528293-13332,528293,13332
3000639,528373-36235,528373,36235
3000640,528473-36344,528473,36344
3000641,528533-19246,528533,19246
3000642,528663-25266,528663,25266
3000643,528753-15948,528753,15948
3000644,528833-3791,528833,3791
3000645,528963-15039,528963,15039
3000646,529053-7199,529053,7199
3000647,529313-24666,529313,24666
3000648,529413-1399,529413,1399
3000649,529493-37413,529493,37413
3000650,529573-39929,529573,39929
3000651,529713-42875,529713,42875
3000652,529863-7571,529863,7571
3000653,529993-29912,529993,29912
3000654,530103-14461,530103,14461
3000655,530143-34389,530143,34389
3000656,530283-42653,530283,42653
3000657,530393-14220,530393,14220
3000658,530533-27068,530533,27068
3000659,530633-2608,530633,2608
3000660,530633-7427,530633,7427
3000661,530703-38645,530703,38645
3000662,530773-23319,530773,23319
3000663,530903-10953,530903,10953
3000664,530983-34838,530983,34838
3000665,531143-27244,531143,27244
3000666,531223-9620,531223,9620
3000667,531293-36352,531293,36352
3000668,531343-749,531343,749
3000669,531403-36421,531403,36421
3000670,531543-17080,531543,17080
3000671,531653-11905,531653,11905
3000672,531693-1547,531693,1547
3000673,531733-1132,531733,1132
3000674,531733-2996,531733,2996
3000675,531733-30786,531733,30786
3000676,531733-3201,531733,3201
3000677,531873-22843,531873,22843
3000678,531983-30999,531983,30999
3000679,532083-259,532083,259
3000680,532093-5585,532093,5585
3000681,532193-26863,532193,26863
3000682,532293-1375,532293,1375
3000683,532303-12282,532303,12282
3000684,532463-12261,532463,12261
3000685,532573-3421,532573,3421
3000686,532733-5375,532733,5375
3000687,532903-33295,532903,33295
3000688,532993-37809,532993,37809
3000689,533173-17756,533173,17756
3000690,533263-860,533263,860
3000691,533373-34700,533373,34700
3000692,533533-14256,533533,14256
3000693,533603-25462,533603,25462
3000694,533753-34095,533753,34095
3000695,533853-25683,533853,25683
3000696,533993-36290,533993,36290
3000697,534113-37099,534113,37099
3000698,534293-12106,534293,12106
3000699,534363-37905,534363,37905
3000700,534433-30695,534433,30695
3000701,534603-24582,534603,24582
3000702,534743-30133,534743,30133
3000703,534933-7579,534933,7579
3000704,535053-37975,535053,37975
3000705,535083-31858,535083,31858
3000706,535133-9774,535133,9774
3000707,535243-22335,535243,22335
3000708,535333-34580,535333,34580
3000709,535433-40865,535433,40865
3000710,535533-27223,535533,27223
3000711,535713-16467,535713,16467
3000712,535823-25540,535823,25540
3000713,535943-16718,535943,16718
3000714,536023-13416,536023,13416
3000715,536103-4898,536103,4898
3000716,536163-36596,536163,36596
3000717,536313-34108,536313,34108
3000718,536393-12206,536393,12206
3000719,536493-31925,536493,31925
3000720,536663-36274,536663,36274
3000721,536683-36366,536683,36366
3000722,536733-17983,536733,17983
3000723,536793-17571,536793,17571
3000724,536883-22940,536883,22940
3000725,536993-21054,536993,21054
3000726,537123-13800,537123,13800
3000727,537273-9835,537273,9835
3000728,537343-4143,537343,4143
3000729,537443-16695,537443,16695
3000730,537553-15058,537553,15058
3000731,537643-17313,537643,17313
3000732,537783-27370,537783,27370
3000733,537913-31966,537913,31966
3000734,538023-17420,538023,17420
3000735,538063-19999,538063,19999
3000736,538133-21807,538133,21807
3000737,538183-2730,538183,2730
3000738,538283-16055,538283,16055
3000739,538413-25498,538413,25498
3000740,538513-21246,538513,21246
3000741,538573-14712,538573,14712
3000742,538713-26538,538713,26538
3000743,538763-37294,538763,37294
3000744,538843-3874,538843,3874
3000745,538923-36355,538923,36355
3000746,539023-5254,539023,5254
3000747,539033-25183,539033,25183
3000748,539123-35198,539123,35198
3000749,539203-15935,539203,15935
3000750,539363-24835,539363,24835
3000751,539413-22242,539413,22242
3000752,539453-5913,539453,5913
3000753,539563-25890,539563,25890
3000754,539663-25445,539663,25445
3000755,539683-2070,539683,2070
3000756,539733-3513,539733,3513
3000757,539813-26971,539813,26971
3000758,539963-17812,539963,17812
3000759,540063-1714,540063,1714
3000760,540123-4258,540123,4258
3000761,540203-12269,540203,12269
3000762,540253-36294,540253,36294
3000763,540273-18006,540273,18006
3000764,540323-21386,540323,21386
3000765,540383-3109,540383,3109
3000766,540463-14615,540463,14615
3000767,540563-9783,540563,9783
3000768,540633-27391,540633,27391
3000769,540653-13128,540653,13128
3000770,540733-44085,540733,44085
3000771,540843-38836,540843,38836
3000772,540893-16691,540893,16691
3000773,541083-12166,541083,12166
3000774,541133-5724,541133,5724
3000775,541263-2185,541263,2185
3000776,541303-17797,541303,17797
3000777,541363-19215,541363,19215
3000778,541463-3955,541463,3955
3000779,541613-33442,541613,33442
3000780,541763-26890,541763,26890
3000781,541853-6353,541853,6353
3000782,541953-11567,541953,11567
3000783,542053-20130,542053,20130
3000784,542133-16345,542133,16345
3000785,542243-5052,542243,5052
3000786,542283-32188,542283,32188
3000787,542333-6034,542333,6034
3000788,542373-4571,542373,4571
3000789,542503-38814,542503,38814
3000790,542613-8071,542613,8071
3000791,542753-1240,542753,1240
3000792,542853-22653,542853,22653
3000793,542983-41744,542983,41744
3000794,543103-37351,543103,37351
3000795,543243-36424,543243,36424
3000796,543353-34698,543353,34698
3000797,543483-41189,543483,41189
3000798,543573-37626,543573,37626
3000799,543603-1305,543603,1305
3000800,543673-38557,543673,38557
3000801,543753-26217,543753,26217
3000802,543873-2952,543873,2952
3000803,543983-31186,543983,31186
3000804,544083-2539,544083,2539
3000805,544133-15229,544133,15229
3000806,544193-14335,544193,14335
3000807,544353-32202,544353,32202
3000808,544413-13873,544413,13873
3000809,544493-1339,544493,1339
3000810,544573-6280,544573,6280
3000811,544723-8435,544723,8435
3000812,544773-22340,544773,22340
3000813,544933-41015,544933,41015
3000814,545023-15192,545023,15192
3000815,545103-27832,545103,27832
3000816,545193-18908,545193,18908
3000817,545233-8043,545233,8043
3000818,545263-34164,545263,34164
3000819,545293-7746,545293,7746
3000820,545463-4036,545463,4036
3000821,545563-8207,545563,8207
3000822,545633-19265,545633,19265
3000823,545653-26088,545653,26088
3000824,545683-24751,545683,24751
3000825,545823-5253,545823,5253
3000826,545873-43649,545873,43649
3000827,546123-34412,546123,34412
3000828,546173-26691,546173,26691
3000829,546233-17893,546233,17893
3000830,546253-39759,546253,39759
3000831,546393-4584,546393,4584
3000832,546483-4337,546483,4337
3000833,546543-22054,546543,22054
3000834,546613-34924,546613,34924
3000835,546773-3445,546773,3445
3000836,546933-586,546933,586
3000837,546963-48413,546963,48413
3000838,547093-26757,547093,26757
3000839,547263-9144,547263,9144
3000840,547383-36255,547383,36255
3000841,547533-14224,547533,14224
3000842,547653-5882,547653,5882
3000843,547723-1295,547723,1295
3000844,547863-19244,547863,19244
3000845,547943-29093,547943,29093
3000846,548033-5807,548033,5807
3000847,548203-4715,548203,4715
3000848,548293-25360,548293,25360
3000849,632973-25583,632973,25583
3000850,633053-33684,633053,33684
3000851,633133-39893,633133,39893
3000852,633193-7034,633193,7034
3000853,633283-30294,633283,30294
3000854,633403-44139,633403,44139
3000855,633513-43308,633513,43308
3000856,633573-724,633573,724
3000857,633643-3539,633643,3539
3000858,633663-17484,633663,17484
3000859,633783-19838,633783,19838
3000860,633863-43004,633863,43004
3000861,633903-22250,633903,22250
3000862,633963-17020,633963,17020
3000863,634033-24398,634033,24398
3000864,634083-33587,634083,33587
3000865,634083-41598,634083,41598
3000866,634093-21542,634093,21542
3000867,634163-13854,634163,13854
3000868,634233-38495,634233,38495
